id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.42,3956745859,46,,91410210.0,1.53,1.41,-0.108036561882,-7.04779,-314917039.7497721,-7.37224,2779530283.277761,2779530283.0,,5.25,-72.97788,2017-12-19T00:00:00.000Z,0.081637,1637.35557,2020-03-13T02:22:41.168Z,,2021-12-31T08:14:55.244Z,-0.5999201524389897,-7.047789685157681,21.53093873191106,btc,2153.093873191106
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,4.36,3803999596,47,,137237032.0,4.52,4.27,-0.068764653579,-1.55129,-75992165.70597506,-1.95857,871649804.720284,,,9.12,-52.1796,2021-10-04T00:41:18.025Z,0.350476,1143.83359,2018-12-07T00:00:00.000Z,,2021-12-31T08:14:22.811Z,-0.1286385038966032,-1.5512867909445018,8.285073607815878,usd,828.5073607815879
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,36.69,3682796570,48,8168578146.0,15731878.0,37.77,36.36,-0.707745266167,-1.8923,-84740055.41492891,-2.24922,100539361.984279,223000000.0,223000000.0,54.88,-33.32707,2021-11-12T23:08:25.301Z,0.113248,32208.07098,2020-04-18T00:19:10.902Z,,2021-12-31T08:16:15.539Z,-0.3195254013896231,-1.892302236716019,,,
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02183432,3637473691,49,,127639738.0,0.02197171,0.02168226,-8.3608768e-05,-0.38146,-127940504.09531927,-3.39778,165886572276.824,165886572276.824,,0.03159087,-30.67453,2020-10-12T21:29:00.007Z,0.00728854,200.47862,2020-03-18T04:29:40.819Z,,2021-12-31T08:16:53.396Z,0.48760201543425924,-0.38146285622686893,,,
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.78,3546199990,50,,954271.0,3.84,3.75,0.01257434,0.3338,6068510.0,0.17142,938793287.9,985239504.0,,3.95,-4.0603,2021-05-14T13:54:31.192Z,0.799859,373.20117,2019-12-24T15:14:35.376Z,,2021-12-31T08:14:58.216Z,0.39592763947051257,0.33379715497479007,,,
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,262.4,3514948042,51,4180248878.0,482269609.0,269.03,238.51,19.66,8.09948,247558562.0,7.57665,13453545.543214535,16000000.0,16000000.0,661.69,-60.71162,2021-05-18T21:19:59.514Z,26.02,898.98494,2020-11-05T09:20:11.928Z,,2021-12-31T08:16:55.092Z,-0.12774874675121076,8.099481526879092,,,
gala,gala,Gala,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.463822,3493955289,52,23161795669.0,394342054.0,0.477093,0.457579,-0.010230436397,-2.15808,-90027750.19521046,-2.51195,7542496572.319239,36461237658.8446,50000000000.0,0.824837,-43.83119,2021-11-26T01:03:48.731Z,0.00013475,343724.21628,2020-12-28T08:46:48.367Z,,2021-12-31T08:16:06.453Z,0.1597670560478298,-2.158080510044597,,,
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.651444,3423870405,53,6516888757.0,89945291.0,0.660576,0.636784,0.00584979,0.90611,21134516.0,0.6211,5253842029.0,10000000000.0,10000000000.0,2.84,-77.14639,2021-02-12T07:28:45.775Z,0.103254,528.91927,2020-12-17T21:28:41.332Z,,2021-12-31T08:15:03.087Z,0.25603917249259156,0.9061099652725847,,,
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.29,3305928828,54,,29246162.0,1.31,1.25,0.01422662,1.11223,33865141.0,1.03498,2557900254.2,,,4.34,-70.27331,2021-03-30T03:44:28.828Z,0.06044,2034.0569,2020-04-29T08:19:34.574Z,,2021-12-31T08:14:25.226Z,-0.6537966111979258,1.1122301721001997,,,
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,11.9,3017005337,55,,75724050.0,12.24,11.82,-0.272652089359,-2.24065,-72185792.0434556,-2.33672,254120839.088845,,,43.96,-72.97387,2021-04-30T10:08:22.934Z,0.194441,6010.83161,2020-11-03T14:29:34.165Z,,2021-12-31T08:16:01.310Z,-0.11336860818808425,-2.2406510542227354,,,
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.08,3013043574,56,,427802341.0,3.12,3.05,0.00326206,0.10601,-4208881.916552544,-0.13949,979197086.3617,,,22.71,-86.49947,2018-04-29T07:50:33.540Z,0.5024,510.29917,2017-10-23T00:00:00.000Z,,2021-12-31T08:15:43.722Z,0.24883471990270706,0.10600588175439342,2.111620212995894,usd,211.16202129958938
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02246893,2922479939,57,,293102632.0,0.02256851,0.02231799,-8.7703453e-05,-0.38881,-304871021.3333287,-9.44648,129515151064.309,129515151064.309,,0.058843,-61.69052,2020-10-21T11:24:27.820Z,0.00620705,263.17719,2021-03-04T08:11:37.438Z,,2021-12-31T08:16:23.783Z,0.48174908127333926,-0.3888143870772417,,,
arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,58.18,2909811699,58,3832634472.0,43927377.0,59.32,55.3,1.71,3.03392,78716548.0,2.78043,50108502.0,64598643.0,66000000.0,89.24,-34.57564,2021-11-05T04:14:42.689Z,0.298788,19439.46146,2020-01-31T06:47:36.543Z,,2021-12-31T08:15:18.089Z,-0.1580340429134267,3.033920801825062,77.61619453505782,usd,7761.619453505781
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,8.83,2796752661,59,,33549288.0,8.92,8.67,0.057419,0.65434,24476200.0,0.88289,316835587.0,1393082413.50733,,42.4,-79.16464,2021-04-05T13:49:10.098Z,4.95,78.45655,2021-01-27T15:34:04.000Z,,2021-12-31T08:14:25.003Z,-0.1602815581783033,0.6543361974572971,,,
